AthleteName	Graduation	BeltColor	BeltDegree	Academy	Federation	FederationAbbr
Joao Paulo Faria	Black Belt Fourth Degree	Black	4	Alliance San Diego	United States Brazilian Jiu-Jitsu Federation	USBJJF
João Paulo Ferraz Barros Cavalcanti	Black Belt	Black		Checkmat / Life Academy	International Brazilian Jiu-Jitsu Federation	IBJJF
João Paulo Marin	Black Belt	Black		Equipe Liga Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
João Paulo Oliveira Marques da Silva	Black Belt	Black		Strauch JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Joao Paulo Viana Alves	Black Belt	Black		Beto e Companhia JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
João Pedro dos Santos	Black Belt Third Degree	Black	3	Choke Academy	International Brazilian Jiu-Jitsu Federation	IBJJF
João Pedro Misk Miller	Black Belt	Black		GET-Fight	Confederação Brasileira de Jiu-Jitsu	CBJJ
João Pedro Zechielle Biosca	Black Belt	Black		Pitbull	Confederação Brasileira de Jiu-Jitsu	CBJJ
João Pereira Nunes Carneiro	Black Belt	Black		Gordo Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
João Rafael Rabelo Carvalho	Black Belt First Degre	Black	1	Qatar BJJ Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
João Rezende de Souza Filho	Red and Black Belt Seventh Degree	Red and Black	7	Prev Ilha Bela	Confederação Brasileira de Jiu-Jitsu	CBJJ
João Salvador Feitosa	Black Belt	Black		JR Brothers Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
João Vidal de Carvalho Polido Lopes	Black Belt	Black		Leão Dourado	Confederação Brasileira de Jiu-Jitsu	CBJJ
João Wanderley da Silva Camarão	Black Belt First Degre	Black	1	Clube Orley Lobato	Confederação Brasileira de Jiu-Jitsu	CBJJ
Joaquim Paulo Assumpção dos Santos	Black Belt	Black		Infight SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Joaquim Santos Neves Junior	Black Belt	Black		G13 BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Joás Ramos da Silva	Black Belt Third Degree	Black	3	Brother's Ramos Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jobel Teixeira dos Santos Neto	Black Belt Third Degree	Black	3	Nova União	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jocildo Fernandes Barbosa Junior	Black Belt First Degre	Black	1	CT JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Joe Camacho	Black Belt	Black		Aloisio Silva BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Joe L. Anaya	Black Belt Second Degree	Black	2	Gracie Humaita Phoenix	United States Brazilian Jiu-Jitsu Federation	USBJJF
Joe Thomas Wales Jr.	Black Belt Third Degree	Black	3	Renato Tavares Association	United States Brazilian Jiu-Jitsu Federation	USBJJF
Joel Castellon Jr.	Black Belt	Black		Gracie Barra Escondido	United States Brazilian Jiu-Jitsu Federation	USBJJF
Joel Michael Bane	Black Belt	Black		Bowie MMA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Joel T. Gingery	Black Belt Second Degree	Black	2	Alliance Marcelo Garcia	United States Brazilian Jiu-Jitsu Federation	USBJJF
Joel Tudor	Black Belt Third Degree	Black	3	Studio 540	United States Brazilian Jiu-Jitsu Federation	USBJJF
Joelson Souza Venancio	Black Belt Fifth Degree	Black	5	Gracie Barra Freguesia	Confederação Brasileira de Jiu-Jitsu	CBJJ
Joey Lupe Medina	Black Belt First Degre	Black	1	Student of Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Joey Maldonado	Black Belt First Degre	Black	1	Future School of Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Joferson Marcio Souza de Deus	Black Belt Second Degree	Black	2	Infight Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Johann Irving Luporini Sao Paulo	Black Belt	Black		MG TEAM	Confederação Brasileira de Jiu-Jitsu	CBJJ
Johannes Wieth	Black Belt	Black		Ribeiro Jiu Jitsu Germany	International Brazilian Jiu-Jitsu Federation	IBJJF
John A Cole	Black Belt	Black		Renzo Gracie Ottawa	International Brazilian Jiu-Jitsu Federation	IBJJF
