AthleteName	Graduation	BeltColor	BeltDegree	Academy	Federation	FederationAbbr
Jose Mario MacCord Queiroga	Black Belt Fifth Degree	Black	5	Brasa Austin TX	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jose Mario Rangel do Outeiro	Black Belt Fourth Degree	Black	4	BJJ 4 Life	International Brazilian Jiu-Jitsu Federation	IBJJF
José Mário Sperry	Black Belt Fifth Degree	Black	5	Mario Sperry Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jose Martin Morachimo	Black Belt Second Degree	Black	2	Phenom Brazilian Jiu-Jitsu - Orange County	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jose Miguel Garcia Madueño	Black Belt Second Degree	Black	2	AOC Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Jose Miguel Tamayo Mejias	Black Belt First Degre	Black	1	Clube Condor de Jiu Jitsu Spain	International Brazilian Jiu-Jitsu Federation	IBJJF
José Nacino Garcia	Black Belt Fourth Degree	Black	4	Academia Garcia	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Neury Gomes Junior	Black Belt Sixth Degree	Black	6	Arte Livre Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Olimpio da Rocha Neto	Black Belt Fourth Degree	Black	4	ZR Team Pernambuco	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Osiris de Oliveira	Black Belt First Degre	Black	1	Top Brother	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Paulo de Moura	Black Belt	Black		Gracie Barra New England	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jose Pinheiro Rocha Neto	Black Belt	Black		Gracie Barra Setor Sul - Goiânia	Confederação Brasileira de Jiu-Jitsu	CBJJ
